ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _supplier,Meta: _original_sku,Meta: _awdp_category,Meta: _compatible_brands
,simple,AWDP-C29-95775,"Screen Corner Parts | Frame Corner Keys 3/4"" x 7/16""",1,0,visible,Screen corner parts are used to join and reinforce aluminum screen frame sections. These frame corner keys help restore proper alignment and strength when repairing or rebuilding window screens. Need More Help? .. Not Sure? Send Measurements & Pictures to info@allwindowdoorparts.com,Screen corner parts are used to join and reinforce aluminum screen frame sections. These frame corner keys help restore proper alignment and strength when repairing or rebuilding window screens. Need More Help? .. Not Sure? Send Measurements & Pictures to info@allwindowdoorparts.com,,,taxable,,1,,,0,0,,,,,1,,,8.88,Door Hardware,"screen, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2022/05/Screen_STR_1.png,,,,,,,,,0,Details,"color: Tan, White, Bronze",1,0,All Window Door Parts,AWDP-C29-95775,Door Hardware,General
,simple,AWDP-LPB-713,Glass Door Handle | Malta Doors,1,0,visible,Fits Malta doors,Fits Malta doors,,,taxable,,1,,,0,0,,,,,1,,,130.88,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/PF-139-1.jpg,,,,,,,,,1,Details,"Color: Off White, Black, Gray, Beige, Pink, Size: Small, Medium, Large",1,0,All Window Door Parts,AWDP-LPB-713,Door Hardware,
,simple,AWDP-ER-164,Glass Door Handle | Deluxe Wood,1,0,visible,"Deluxe wood handle set For wood or aluminum doors 1"" to 21/4"" thick Installation holes 315/16"" on center Deluxe Glass Door Handle Set for mortise lock type doors includes indoor and outdoor pulls and screws. Aluminum finish. Comes with extra long tailshaft to fit most door thicknesses. Cut to proper","Deluxe wood handle set For wood or aluminum doors 1"" to 21/4"" thick Installation holes 315/16"" on center Deluxe Glass Door Handle Set for mortise lock type doors includes indoor and outdoor pulls and screws. Aluminum finish. Comes with extra long tailshaft to fit most door thicknesses. Cut to proper length when installing. Mortise Locks ...",,,taxable,,1,,,0,0,,,,,1,,,142.45,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/PF-120-1.jpg,,,,,,,,,2,,,1,0,Oldach,AWDP-ER-164,Door Hardware,"Marvin, Peachtree, Oldach, Norco"
,simple,AWDP-PO-489,Mortise Lock with Keeper,1,0,visible,Used on Pennco doors.,Used on Pennco doors.,,,taxable,,1,,,0,0,,,,,1,,,192.30,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/LEE-9169-1.jpg,,,,,,,,,3,,,1,0,Strybuc,AWDP-PO-489,Door Hardware,Strybuc
,simple,AWDP-PT-363,Patio Door Handle | Mortise Lock,1,0,visible,"Introducing the Mortise Lock Patio Door Handle – the perfect blend of style, functionality, and durability for your outdoor living space. Crafted with precision, this handle offers effortless operation and a comfortable grip, making it a breeze to open and close your patio doors. Its sleek design co","Introducing the Mortise Lock Patio Door Handle – the perfect blend of style, functionality, and durability for your outdoor living space. Crafted with precision, this handle offers effortless operation and a comfortable grip, making it a breeze to open and close your patio doors. Its sleek design complements various decor styles, while its robust construction ...",,,taxable,,1,,,0,0,,,,,1,,,69.98,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/PT-333.jpg,,,,,,,,,4,,,1,0,All Window Door Parts,AWDP-PT-363,Door Hardware,
,simple,AWDP-PT-333,Mortise Lock | Round Face,1,0,visible,Available in steel.,Available in steel.,,,taxable,,1,,,0,0,,,,,1,,,64.00,Door Hardware,"weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/PT-175.jpg,,,,,,,,,5,,,1,0,Truth/Entrygard,AWDP-PT-333,Door Hardware,"Truth, Pella, Peachtree, Norco, Simonton, Silverline"
,simple,AWDP-PIF-10F,Patio Door Handle | Keyed Handle Set,1,0,visible,Available in almond and white.,Available in almond and white.,,,taxable,,1,,,0,0,,,,,1,,,381.45,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/PO-489.jpg,,,,,,,,,6,Details,"Color: Almond, White",1,0,Truth/Entrygard,AWDP-PIF-10F,Door Hardware,"Truth, Entrygard, Pella, Marvin, Strybuc"
,simple,AWDP-PT-680,Handle Set for Patio Door,1,0,visible,Available in bronze and white.,Available in bronze and white.,,,taxable,,1,,,0,0,,,,,1,,,128.88,Door Hardware,"lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/PO-423.jpg,,,,,,,,,7,Details,"Color: Bronze, White",1,0,Truth/Entrygard,AWDP-PT-680,Door Hardware,"Truth, Entrygard"
,simple,AWDP-BIF-PI-563,Patio Door Handle Set,1,0,visible,Available in aluminum and black.,Available in aluminum and black.,,,taxable,,1,,,0,0,,,,,1,,,119.46,Door Hardware,"weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/PO-153.jpg,,,,,,,,,8,Details,"Color: Aluminum, Black",1,0,Strybuc,AWDP-BIF-PI-563,Door Hardware,"Pella, Marvin, Peachtree, Strybuc, Oldach, Norco, Simonton, Silverline"
,simple,AWDP-PT-175,Swing Door Lockset,1,0,visible,"Available in polished brass. Fits 2 1/8"" Cross Bore on 6 3/32"" Centers Fits all Peachtree Prado Patio Doors For left or right hand doors.","Available in polished brass. Fits 2 1/8"" Cross Bore on 6 3/32"" Centers Fits all Peachtree Prado Patio Doors For left or right hand doors.",,,taxable,,1,,,0,0,,,,,1,,,247.69,Door Hardware,"weatherstrip, lock, door",,https://www.allwindowdoorparts.com/wp-content/uploads/2023/08/II-146PB.jpg,,,,,,,,,9,,,1,0,Strybuc,AWDP-PT-175,Door Hardware,"Andersen, Peachtree, Strybuc"
