ID,Type,SKU,Name,Short description,Description,Regular price,Images,Source URL,Source Site
,simple,AWDP-TEG-1-3-8-WOOD-DIVIDED-LITE-MUNTIN-B,1 3/8″ Wood Divided Lite Muntin Bar with Tape,,"This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. **For questions or concerns, please contact info@truthentrygard.com Designed for consistent fit and dependable function in residential and commercial applications.",5.95,,https://truthentrygard.com/product/1-3-8-wood-divided-lite-muntin-bar-with-tape/,truthentrygard
,simple,AWDP-TEG-1-ALUMINUM-DIVIDED-LITE-MUNTIN-B,1″ Aluminum Divided Lite Muntin Bar with Tape,,"This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. Description Elevate the charm of your windows with our ″ Aluminum Divided Lite Muntin Bar with Tape, a timeless addition to any home. Priced per foot for lengths up to  feet, these muntin bars offer both elegance and practicality. Select your desired color to seamlessly integrate with your window frame, enhancing the architectural appeal of your space. Choose from our standard color options for a perfect match, or inquire about our custom color offerings for a personalized touch. Crafted with precision and durability in mind, our muntin bars add character and style to your windows, transforming them into focal points of beauty and sophistication. Experience the perfect blend of craftsmanship, customization, and quality today. Designed for consistent fit and dependable function in residential and commercial applications.",17.66,,https://truthentrygard.com/product/1-aluminum-divided-lite-muntin-bar-with-tape/,truthentrygard
,simple,AWDP-TEG-2R-WINDOW-LIMIT-DEVICE,2R Window Limit Device,,This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. GOT QUESTIONS?! Contact us: info@truthentrygard.com Designed for consistent fit and dependable function in residential and commercial applications.,135.88,,https://truthentrygard.com/product/2r-window-limit-device/,truthentrygard
,simple,AWDP-TEG-1-3-8-ALUMINUM-DIVIDED-LITE-MUNT,1 3/8″ Aluminum Divided Lite Muntin Bar with Tape,,"This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. **For questions or concerns, please contact info@truthentrygard.com Designed for consistent fit and dependable function in residential and commercial applications.",23.88,,https://truthentrygard.com/product/1-3-8-aluminum-divided-lite-muntin-bar-with-tape/,truthentrygard
,simple,AWDP-TEG-ANDERSON-ANDERSEN-WINDOW-DOOR-RE,Anderson Andersen Window Door Replacement Hardware Parts Free ID Help,,"This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. Description this component | Anderson | Gliding / Sliding / Slider – Patio Doors, Hinged Patio Doors Inswing / outswing, Outswing Patio Doors, sliding glass doors,  Series Frenchwood, Gliding Patio Door  Series,  to Present,  Series Perma-Shield Gliding Patio Doors, Perma-Shield, Patio Door  to Present ,  Series Narroline,  to Present, natural wood interior and vinyl exterior ,  Series Gliding Patio Doors – Hardware and Trim Sets, Handles, Replacement Parts, Locks, Weather Strip, Seals, Wheels, Rollers, and More. Screen Rollers, Hardware Handle Sets, Packages, Encino, Yuma, Newbury, CadBerry, Whitmore, Whitemore, Covington, Traditional, Anvers, Answers, Contemporary Styles, Tribeca, Trifecta, Albany, and Classic looking; this component | Anderson Gliding Patio Door Rollers |  | Dual Wheel Roller Replacements | Parts | tandem roller sets | Patio Door Roller for Tall Panels |  |  | Gliding door tandem roller sets | Insect Screen Wheel Assembly Parts |  | Screen Wheels | Lower Wheel Assembly |  to  | ndersen Window Parts – Awning Window Parts , this component Double or Single Hung Window Parts, Hardware, Weatherstrip, Latches and Lifts, Gliding Basement & Utility Window Parts, this component Roof Window Window Parts, Patio Door Hardware Replacements, Rollers, Wheels, this component Gliding Patio Door weather strip, this component Hinged Patio Door Parts, this component outswing patio door parts, hinges, handles and lock sets, Top Selling Door Parts and Supplies, Aftermarket Parts for Anderson Windows and Doors. Prices Starting at $. Designed for consistent fit and dependable function in residential and commercial applications.",16.92,,https://truthentrygard.com/product/anderson-andersen-window-door-replacement-hardware-parts-free-id-help/,truthentrygard
,simple,AWDP-TEG-ASHLAND-DUAL-ARM-CASEMENT-WINDOW,Ashland Dual Arm Casement Window Operator Components,,This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. Got Questions? Not sure what you need? Feel free to email: info@truthentrygard.com NOT SURE WHAT YOU NEED?!? EMAIL PICTURES AND WE WILL GET YOU TAKEN CARE OF! Designed for consistent fit and dependable function in residential and commercial applications.,80.88,,https://truthentrygard.com/product/ashland-dual-arm-casement-window-operator-components/,truthentrygard
,simple,AWDP-TEG-ANDERSEN-WINDOW-SASH-PARTS-LOCKS,Andersen Window Sash Parts – Locks and Keepers,,This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. **EMAIL US For Current Pricing / Availability: Info@truthentrygard.com** Designed for consistent fit and dependable function in residential and commercial applications.,93.51,,https://truthentrygard.com/product/andersen-window-sash-parts-locks-and-keepers/,truthentrygard
,simple,AWDP-TEG-7-8-ALUMINUM-DIVIDED-LITE-MUNTIN,7/8″ Aluminum Divided Lite Muntin Bar with Tape,,"This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. **For questions or concerns, please contact info@truthentrygard.com Designed for consistent fit and dependable function in residential and commercial applications.",13.99,,https://truthentrygard.com/product/7-8-aluminum-divided-lite-muntin-bar-with-tape/,truthentrygard
,simple,AWDP-TEG-BIRCH-BUTTONS-TRIM-AND-FINISH-PA,Birch Buttons-Trim and Finish Parts,,This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. Used on fixed casement or double hung picture windows. Designed for consistent fit and dependable function in residential and commercial applications.,21.21,,https://truthentrygard.com/product/birch-buttons-biltbest-trim-and-finish-parts-12-pack/,truthentrygard
,simple,AWDP-TEG-AWNING-WINDOW-OPERATOR-PARTS-291,Awning Window Operator Parts | 29168 AWNING UNIT ASSEMBLY 28.75″,,"This replacement component is engineered for reliable performance and long-term durability. It installs cleanly and supports smooth operation in a wide range of window and door systems. For questions or concerns, please contact info@truthentrygard.com Designed for consistent fit and dependable function in residential and commercial applications.",207.91,,https://truthentrygard.com/product/awning-window-operator-parts-29168-awning-unit-assembly-28-75/,truthentrygard
